id:12540727,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS printed frill dress,brand:Fendi Kids,price:HK$5100,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. This pink cotton  printed frill dress from Fendi Kids features a collar style long sleeves and layers of frills.,color:F0B8Y,styleid:JFB151A16Q,imglink:https://cdn-images.farfetch-contents.com/12/54/07/27/12540727_11894870_322.jpg
id:12530269,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS classic two-piece suit,brand:Fendi Kids,price:HK$7000,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. Crafted in Italy from blue wool blend this two-piece suit features a blazer with classic two-piece suit from Fendi Kids featuring classic lapels a front button fastening long sleeves button cuffs and patch pockets as well as trousers with a button and zip fly a regular length and a logo embroidered chest pocket.,color:F0LQ0 BLU,styleid:JMW021A19J,imglink:https://cdn-images.farfetch-contents.com/12/53/02/69/12530269_11823390_322.jpg
id:12423123,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS Teen logo T-shirt,brand:Fendi Kids,price:HK$695,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. This white cotton Teen logo T-shirt from Fendi Kids features a round neck short sleeves and a straight hem.,color:F0QA0,styleid:JFI0827AJ,imglink:https://cdn-images.farfetch-contents.com/12/42/31/23/12423123_11390747_322.jpg
id:12530264,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS Teen Fendi football sweatshirt,brand:Fendi Kids,price:HK$1900,description:The Fendi Teen assortment uses motifs seen throughout the brand's entire offering such as the Fendi monster. This navy sweatshirt features a Fendi football monster graphic on the chest.,color:F0QA2,styleid:JMH0618RA,imglink:https://cdn-images.farfetch-contents.com/12/53/02/64/12530264_11826084_322.jpg
id:12530263,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS contrast T-shirt,brand:Fendi Kids,price:HK$2300,description:The latest collection from Fendi Kids showcases punchy prints textured trims and a quirky colour palette with sports inspired motifs and detailing.  This cotton T-shirt has a crew neck and a contrast multicoloured brand logo on the front. It features contrasting blue and white striped sleeves and back.,color:F0UE0,styleid:JMI160A193,imglink:https://cdn-images.farfetch-contents.com/12/53/02/63/12530263_11826081_322.jpg
id:12530262,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS Teen frill detail jeans,brand:Fendi Kids,price:HK$2100,description:Known for its daring approach the Fendi ostentatious design aesthetic extends to all the brand's offerings including kidswear. These blue cotton jeans feature a five pocket design belt loops and are defined by a denim ruffed trim at the back.,color:F0QA2,styleid:JFF087A19S,imglink:https://cdn-images.farfetch-contents.com/12/53/02/62/12530262_11826077_322.jpg
id:12523848,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS Bad Bugs jumper,brand:Fendi Kids,price:HK$1469,description:Karl Lagerfeld creates playful emblematic children's ready to wear for Fendi Kids. Expect to see Breton stripes pop art inspired designs and of course the mischievous Fendi Kids cat motif. This yellow virgin wool Bad Bugs jumper from Fendi Kids features a ribbed round neck long sleeves a ribbed hem and cuffs and an intarsia knit.,color:F0QF1 GIALLO,styleid:JMG0298SH,imglink:https://cdn-images.farfetch-contents.com/12/52/38/48/12523848_11839210_322.jpg
id:12499041,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS patch slip-on sneakers,brand:Fendi Kids,price:HK$2900,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. Produced in red and navy blue these patch slip-on sneakers feature a round toe a slip-on style a contrasting heel counter a pull tab at the rear a color blocked design a flat sole and multicolored patch appliqués to the front.,color:F0ZB1,styleid:JFR182A1ER,imglink:https://cdn-images.farfetch-contents.com/12/49/90/41/12499041_11680382_322.jpg
id:12498470,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS cheer Fendi T-shirt,brand:Fendi Kids,price:HK$1200,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. This red cotton cheer Fendi T-shirt features a round neck and short sleeves.,color:F0BV4,styleid:JMI1657AJ,imglink:https://cdn-images.farfetch-contents.com/12/49/84/70/12498470_11677681_322.jpg
id:12495200,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS cherry print trousers,brand:Fendi Kids,price:HK$1100,description:The latest collection from Fendi Kids showcases punchy prints textured trims and a quirky colour palette your little one is bound to love. These pink stretch cotton cherry print trousers feature an elasticated waistband and ruffled cuffs.,color:F0UA3,styleid:BFF082A1ES,imglink:https://cdn-images.farfetch-contents.com/12/49/52/00/12495200_11677175_322.jpg
